Source: Forbes Billionaires List Data,,,,,,,,
Name and Rank,Wealth (Millions),Surname,World Rank,Age,Wealth Source,Industry,Gender,State
Ben Ashkenazy,"$3,500",Ashkenazy,538,50,real estate,Real Estate,M,New York
Anthony Pritzker,"$3,500",Pritzker,538,59,"hotels, investments",Service,M,California
Randall Rollins,"$3,500",Rollins,538,88,pest control,Service,M,Georgia
Charles Simonyi,"$3,500",Simonyi,538,71,Microsoft,Technology,M,Washington
David Steward,"$3,500",Steward,538,68,IT provider,Technology,M,Missouri
Henry Samueli,"$3,500",Samueli,538,65,semiconductors,Technology,M,California
Lin Bin,"$3,500",Lin,538,52,smartphones,Technology,M,
Min Kao,"$3,500",Kao,538,71,navigation equipment,Technology,M,Kansas
Lynn Schusterman,"$3,400",Schusterman,565,81,"oil & gas, investments",Energy,F,Oklahoma
Richard Schulze,"$3,400",Schulze,565,79,Best Buy,Fashion & Retail,M,Florida
J.B. Pritzker,"$3,400",Pritzker,565,55,"hotels, investments",Finance & Investments,M,Illinois
Bubba Cathy,"$3,400",Cathy,565,65,Chick-fil-A,Food & Beverage,M,Georgia
Dan Cathy,"$3,400",Cathy,565,67,Chick-fil-A,Food & Beverage,M,Georgia
Rick Caruso,"$3,400",Caruso,565,61,real estate,Real Estate,M,California
Michael Moritz,"$3,400",Moritz,565,65,venture capital,Technology,M,California
Romesh T. Wadhwani,"$3,400",Wadhwani,565,72,software,Technology,M,California
Dan Friedkin,"$3,300",Friedkin,590,55,Toyota dealerships,Automotive,M,Texas
John Catsimatidis,"$3,300",Catsimatidis,590,71,"oil, real estate",Energy,M,New York
Jane Lauder,"$3,300",Lauder,590,47,Est̩e Lauder,Fashion & Retail,F,New York
John Arnold,"$3,300",Arnold,590,46,hedge funds,Finance & Investments,M,Texas
John Middleton,"$3,300",Middleton,590,65,tobacco,Food & Beverage,M,Pennsylvania
H. Fisk Johnson,"$3,300",Johnson,590,61,cleaning products,Manufacturing,M,Wisconsin
Helen Johnson-Leipold,"$3,300",Johnson-Leipold,590,63,cleaning products,Manufacturing,F,Wisconsin
S. Curtis Johnson,"$3,300",Johnson,590,64,cleaning products,Manufacturing,M,Wisconsin
Winifred Johnson-Marquart,"$3,300",Johnson-Marquart,590,61,cleaning products,Manufacturing,F,Virginia
Arturo Moreno,"$3,300",Moreno,590,73,"billboards, Anaheim Angels",Sports,M,Arizona
Meg Whitman,"$3,300",Whitman,590,63,eBay,Technology,F,California
John Morris,"$3,200",Morris,616,72,sporting goods retail,Fashion & Retail,M,Missouri
Jonathan Gray,"$3,200",Gray,616,50,investments,Finance & Investments,M,New York
Ken Langone,"$3,200",Langone,616,84,investments,Finance & Investments,M,New York
Leon G. Cooperman,"$3,200",Cooperman,616,76,hedge funds,Finance & Investments,M,Florida
Marc Rowan,"$3,200",Rowan,616,57,private equity,Finance & Investments,M,New York
"Rupert Johnson, Jr.","$3,200",Johnson,616,79,money management,Finance & Investments,M,California
Bert Beveridge,"$3,200",Beveridge,616,58,vodka,Food & Beverage,M,Texas
James Leprino,"$3,200",Leprino,616,82,cheese,Food & Beverage,M,Colorado
Charles Cohen,"$3,200",Cohen,616,68,real estate,Real Estate,M,New York
"Jeremy Jacobs, Sr.","$3,200",Jacobs,616,80,food service,Service,M,New York
Tom Golisano,"$3,200",Golisano,616,78,payroll services,Service,M,Florida
Denise York,"$3,200",York,616,69,San Francisco 49ers,Sports,F,Ohio
Gayle Benson,"$3,200",Benson,616,73,pro sports teams,Sports,F,Louisiana
John Paul DeJoria,"$3,100",DeJoria,648,75,"hair products, tequila",Fashion & Retail,M,Texas
Daniel Och,"$3,100",Och,648,59,hedge funds,Finance & Investments,M,New York
Don Hankey,"$3,100",Hankey,648,76,auto loans,Finance & Investments,M,California
Thomas Hagen,"$3,100",Hagen,648,84,insurance,Finance & Investments,M,Pennsylvania
Thomas Pritzker,"$3,100",Pritzker,648,69,"hotels, investments",Finance & Investments,M,Illinois
Steve Wynn,"$3,100",Wynn,648,78,"casinos, hotels",Gambling & Casinos,M,Nevada
Allan Goldman,"$3,100",Goldman,648,77,real estate,Real Estate,M,New York
Amy Goldman Fowler,"$3,100",Goldman Fowler,648,65,real estate,Real Estate,F,New York
Diane Kemper,"$3,100",Kemper,648,74,real estate,Real Estate,F,New York
"Edward Roski, Jr.","$3,100",Roski,648,81,real estate,Real Estate,M,California
Jane Goldman,"$3,100",Goldman,648,64,real estate,Real Estate,F,New York
John Sall,"$3,100",Sall,648,72,software,Technology,M,North Carolina
Eric Smidt,"$3,000",Smidt,680,60,hardware stores,Fashion & Retail,M,California
Barry Sternlicht,"$3,000",Sternlicht,680,59,private equity,Finance & Investments,M,Florida
Ira Rennert,"$3,000",Rennert,680,85,investments,Finance & Investments,M,New York
