Source: Forbes Billionaires List Data,,,,,,,,,,,,,,,,,,,,,,
Name and Rank,Surname,World Rank,Wealth (Millions),Age,Wealth Source,Industry,Gender,City,State,,,,,,,,,,,,,
Trevor Rees-Jones,Rees-Jones,452,"$4,300 ",68,oil & gas,Energy,M,Dallas,TX,,,,,,,,,,,,,
Stephen Bisciotti,Bisciotti,472,"$4,200 ",59,"staffing, Baltimore Ravens",Sports,M,Millersville,MD,,,,,,,,,,,,,
"Rupert Johnson, Jr.",Johnson,472,"$4,200 ",79,money management,Finance & Investments,M,Burlingame,CA,,,,,,,,,,,,,
Frank VanderSloot,VanderSloot,472,"$4,200 ",71,"nutrition, wellness products",Fashion & Retail,M,Idaho Falls,ID,,,,,,,,,,,,,
Mark Cuban,Cuban,478,"$4,100 ",61,online media,Media & Entertainment,M,Dallas,TX,,,,,,,,,,,,,
Dagmar Dolby,Dolby,478,"$4,100 ",78,Dolby Laboratories,Technology,F,San Francisco,CA,,,,,,,,,,,,,
Clifford Asness,Asness,715,"$3,100 ",53,money management,Finance & Investments,M,Greenwich,CT,,,,,,,,,,,,,
"Jeremy Jacobs, Sr.",Jacobs,478,"$4,100 ",79,food service,Service,M,East Aurora,NY,,,,,,,,,,,,,
"H. Ross Perot, Sr.",Perot,478,"$4,100 ",89,"computer services, real estate",Diversified,M,Dallas,TX,,,,,,,,,,,,,
Thomas Pritzker,Pritzker,478,"$4,100 ",69,"hotels, investments",Finance & Investments,M,Chicago,IL,,,,,,,,,,,,,
Randall Rollins,Rollins,478,"$4,100 ",88,pest control,Service,M,Atlanta,GA,,,,,,,,,,,,,
Fred Smith,Smith,478,"$4,100 ",75,FedEx,Logistics,M,Memphis,TN,,,,,,,,,,,,,
Russ Weiner,Weiner,478,"$4,100 ",49,energy drinks,Food & Beverage,M,Delray Beach,FL,,,,,,,,,,,,,
Kelcy Warren,Warren,478,"$4,100 ",64,pipelines,Energy,M,Dallas,TX,,,,,,,,,,,,,
Ben Ashkenazy,Ashkenazy,504,"$4,000 ",50,real estate,Real Estate,M,New York,NY,,,,,,,,,,,,,
Bert Beveridge,Beveridge,504,"$4,000 ",58,vodka,Food & Beverage,M,Austin,TX,,,,,,,,,,,,,
Neil Bluhm,Bluhm,504,"$4,000 ",82,real estate,Real Estate,M,Chicago,IL,,,,,,,,,,,,,
"Austen Cargill, II.",Cargill,504,"$4,000 ",68,Cargill,Food & Beverage,M,Livingston,MT,,,,,,,,,,,,,
"James Cargill, II.",Cargill,504,"$4,000 ",70,Cargill,Food & Beverage,M,Birchwood,WI,,,,,,,,,,,,,
Rick Caruso,Caruso,504,"$4,000 ",61,real estate,Real Estate,M,Brentwood,CA,,,,,,,,,,,,,
Jack Dangermond,Dangermond,504,"$4,000 ",74,mapping software,Technology,M,Redlands,CA,,,,,,,,,,,,,
Dan Friedkin,Friedkin,504,"$4,000 ",54,Toyota dealerships,Automotive,M,Houston,TX,,,,,,,,,,,,,
Tom Gores,Gores,504,"$4,000 ",55,private equity,Finance & Investments,M,Beverly Hills,CA,,,,,,,,,,,,,
Reed Hastings,Hastings,504,"$4,000 ",59,Netflix,Media & Entertainment,M,Santa Cruz,CA,,,,,,,,,,,,,
James Leprino,Leprino,504,"$4,000 ",82,cheese,Food & Beverage,M,Indian Hills,CO,,,,,,,,,,,,,
Marianne Liebmann,Liebmann,504,"$4,000 ",66,Cargill,Food & Beverage,F,Bozeman,MT,,,,,,,,,,,,,
Igor Olenicoff,Olenicoff,504,"$4,000 ",77,real estate,Real Estate,M,Lighthouse Point,FL,,,,,,,,,,,,,
Jerry Speyer,Speyer,504,"$4,000 ",79,real estate,Real Estate,M,New York,NY,,,,,,,,,,,,,
John Brown,Brown,529,"$3,900 ",85,medical equipment,Healthcare,M,Atlanta,GA,,,,,,,,,,,,,
Ronald Lauder,Lauder,529,"$3,900 ",75,Estee Lauder,Fashion & Retail,M,New York,NY,,,,,,,,,,,,,
Gabe Newell,Newell,529,"$3,900 ",57,videogames,Gambling & Casinos,M,Seattle,WA,,,,,,,,,,,,,
Harry Stine,Stine,529,"$3,900 ",78,agriculture,Food & Beverage,M,Adel,IA,,,,,,,,,,,,,
Steven Udvar-Hazy,Udvar-Hazy,529,"$3,900 ",73,aircraft leasing,Service,M,Beverly Hills,CA,,,,,,,,,,,,,
Archie Aldis Emmerson,Emmerson,546,"$3,800 ",90,"timberland, lumber mills",Manufacturing,M,Redding,CA,,,,,,,,,,,,,
Jensen Huang,Huang,546,"$3,800 ",56,semiconductors,Technology,M,Los Altos,CA,,,,,,,,,,,,,
H. Fisk Johnson,Johnson,546,"$3,800 ",61,cleaning products,Manufacturing,M,Racine,WI,,,,,,,,,,,,,
S. Curtis Johnson,Johnson,546,"$3,800 ",64,cleaning products,Manufacturing,M,Racine,WI,,,,,,,,,,,,,
Helen Johnson-Leipold,Johnson-Leipold,546,"$3,800 ",63,cleaning products,Manufacturing,F,Racine,WI,,,,,,,,,,,,,
Winifred Johnson-Marquart,Johnson-Marquart,546,"$3,800 ",60,cleaning products,Manufacturing,F,Virginia Beach,VA,,,,,,,,,,,,,
Janice McNair,McNair,546,"$3,800 ",83,"energy, sports",Sports,F,Houston,TX,,,,,,,,,,,,,
"Henry Nicholas, III.",Nicholas,546,"$3,800 ",60,semiconductors,Technology,M,Newport Coast,CA,,,,,,,,,,,,,
Ira Rennert,Rennert,546,"$3,800 ",85,investments,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
John Henry,Henry,838,"$2,700 ",70,sports,Sports,M,Westport,CT,,,,,,,,,,,,,
Nathan Blecharczyk,Blecharczyk,568,"$3,700 ",36,Airbnb,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Brian Chesky,Chesky,568,"$3,700 ",38,Airbnb,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Barry Diller,Diller,568,"$3,700 ",77,online media,Media & Entertainment,M,New York,NY,,,,,,,,,,,,,
Joe Gebbia,Gebbia,568,"$3,700 ",38,Airbnb,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Douglas Leone,Leone,568,"$3,700 ",62,venture capital,Finance & Investments,M,Atherton,CA,,,,,,,,,,,,,
Richard Schulze,Schulze,568,"$3,700 ",79,Best Buy,Fashion & Retail,M,Bonita Springs,FL,,,,,,,,,,,,,
Steven Spielberg,Spielberg,568,"$3,700 ",73,movies,Media & Entertainment,M,Pacific Palisades,CA,,,,,,,,,,,,,
Brian Acton,Acton,597,"$3,600 ",47,WhatsApp,Technology,M,Palo Alto,CA,,,,,,,,,,,,,
Judy Faulkner,Faulkner,597,"$3,600 ",76,health IT,Technology,F,Madison,WI,,,,,,,,,,,,,
"Stephen Mandel, Jr.",Mandel,962,"$2,400 ",63,hedge funds,Finance & Investments,M,Greenwich,CT,,,,,,,,,,,,,
Michael Milken,Milken,597,"$3,600 ",73,investments,Finance & Investments,M,Los Angeles,CA,,,,,,,,,,,,,
Mitchell Rales,Rales,597,"$3,600 ",63,"manufacturing, investments",Manufacturing,M,Potomac,MD,,,,,,,,,,,,,
"Bernard Saul, II.",Saul,597,"$3,600 ",87,"banking, real estate",Finance & Investments,M,Chevy Chase,MD,,,,,,,,,,,,,
Donald Sterling,Sterling,597,"$3,600 ",85,real estate,Real Estate,M,Beverly Hills,CA,,,,,,,,,,,,,
Scott Cook,Cook,617,"$3,500 ",67,software,Technology,M,Woodside,CA,,,,,,,,,,,,,
